model,density,seed,first_stable_va0999,final_time,final_va,final_S
voter,0.16,64,436,30000,1.0,0.5
voter,0.16,65,759,30000,1.0000000000000002,1.0
voter,0.16,66,1502,30000,1.0,1.0
voter,0.16,67,1442,30000,1.0,1.0
voter,0.16,68,2741,30000,1.0,0.9375
voter,0.16,69,2856,30000,0.9999999999999998,1.0
voter,0.16,70,1463,30000,1.0,1.0
voter,0.16,71,1406,30000,1.0,1.0
voter,0.16,72,657,30000,0.9999999999999999,1.0
voter,0.16,73,1056,30000,1.0,1.0
voter,0.16,74,1537,30000,1.0000000000000002,1.0
voter,0.16,75,5478,30000,1.0000000000000002,1.0
voter,0.16,76,557,30000,0.9999999999999999,1.0
voter,0.16,77,700,30000,1.0,0.625
voter,0.16,78,721,30000,1.0000000000000002,1.0
voter,0.16,79,1112,30000,1.0000000000000002,0.875
voter,0.16,80,698,30000,1.0000000000000004,1.0
voter,0.16,81,610,30000,1.0,0.875
voter,0.16,82,2852,30000,1.0000000000000002,0.9375
voter,0.16,83,371,30000,0.9999999999999998,1.0
voter,0.16,84,1747,30000,1.0,1.0
voter,0.16,85,1057,30000,0.9999999999999998,0.6875
voter,0.16,86,2754,30000,0.9999999999999999,1.0
voter,0.16,87,1412,30000,1.0000000000000002,0.5
voter,0.16,88,5371,30000,0.9999999999999997,1.0
voter,0.16,89,2540,30000,1.0,1.0
voter,0.16,90,2566,30000,1.0000000000000004,1.0
voter,0.16,91,823,30000,0.9999999999999999,1.0
voter,0.16,92,436,30000,1.0000000000000002,0.6875
voter,0.16,93,951,30000,0.9999999999999998,1.0
voter,0.16,94,680,30000,0.9999999999999998,1.0
voter,0.16,95,496,30000,0.9999999999999998,1.0
voter,0.16,96,611,30000,0.9999999999999998,0.8125
voter,0.16,97,5396,30000,0.9999999999999998,1.0
voter,0.16,98,1753,30000,1.0,1.0
voter,0.16,99,463,30000,1.0,0.9375
voter,0.16,100,588,30000,1.0000000000000002,1.0
voter,0.32,1,1015,30000,0.9999999999999996,1.0
voter,0.32,2,414,30000,0.9999999999999997,0.9375
voter,0.32,3,1097,30000,1.0000000000000002,1.0
voter,0.32,4,426,30000,1.0,1.0
voter,0.32,5,895,30000,0.9999999999999997,1.0
