model,density,particle_count,side,cells_per_side,cutoff,speed,time_step,eta,realizations,stationary_start,polarization_mean,polarization_std,cluster_mean,cluster_std,cim_time_ns_mean
voter,0.16,16,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.22238584143338952,0.0017614171691257951,0.1653422346275621,0.025708713512767968,1603.8123479420096
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.0,10,4000.0,0.999925360868871,0.0002360296569439233,0.9271595359106815,0.15960452600909936,5892.959823362773
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.125,10,4000.0,0.4478885758095118,0.025339234934644107,0.603472337943676,0.05905702565244625,7103.311064822529
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.25,10,4000.0,0.27199065037382636,0.007022763962102814,0.41536410598233625,0.046227285092099675,5328.576220629895
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.375,10,4000.0,0.2119685746368989,0.005024895903056237,0.34803418180303286,0.06792848413586354,4582.985585735711
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.5,10,4000.0,0.1831529971842976,0.0016122242562298594,0.2710725295784036,0.038195292227786164,4082.7444592567904
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.625,10,4000.0,0.16771564764253674,0.0008519828444186938,0.2534098483586069,0.057569658101991016,3861.360856523913
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.75,10,4000.0,0.1598551933685251,0.0009962389849187143,0.2055433469421763,0.0388315729008184,3522.7275954007664
voter,0.32,32,10.0,9,1.0,0.03,1.0,0.875,10,4000.0,0.15725695166171533,0.000990047808194036,0.18735367022162971,0.02848593069259461,3358.3201133144476
voter,0.32,32,10.0,9,1.0,0.03,1.0,1.0,10,4000.0,0.1571466206793864,0.0008971442576158513,0.1451185219130145,0.02145613241890225,3102.286652224629
