seed,boundary,method,N,L,M,rc,repetition,time_ns,neighbor_pairs,distance_evaluations
322614909700890316,walls,cim,100,20,13,1,7,14625,81,237
13886953640474348875,walls,cim,100,20,13,1,8,13084,74,228
8113115374684499888,walls,cim,100,20,13,1,9,13250,75,231
17394910487883455657,walls,cim,100,20,13,1,10,14833,97,251
10944738639003340520,walls,cim,100,20,13,1,11,13792,72,241
101291528328190066,walls,cim,100,20,13,1,12,14208,72,249
3409684748601007617,walls,cim,100,20,13,1,13,13542,67,229
14386752065464263433,walls,cim,100,20,13,1,14,13542,73,236
9164794968627987025,walls,cim,100,20,13,1,15,12500,70,216
2903416893770049351,walls,cim,100,20,13,1,16,13333,66,228
13940881566642843916,walls,cim,100,20,13,1,17,14416,88,241
927268703339502693,walls,cim,100,20,13,1,18,14125,76,242
1571402341489608190,walls,cim,100,20,13,1,19,13167,70,230
16932511706034101414,walls,cim,100,20,13,1,20,13458,75,231
9524310635507545443,walls,cim,100,20,13,1,21,12958,75,217
228426315074000791,walls,cim,100,20,13,1,22,14209,77,263
10554547440580006531,walls,cim,100,20,13,1,23,13375,60,227
2977712190272145242,walls,cim,100,20,13,1,24,13250,73,242
4018384271803947331,walls,cim,100,20,13,1,25,13959,87,238
14780000804663304678,walls,cim,100,20,13,1,26,13833,84,241
3903721935039809781,walls,cim,100,20,13,1,27,14167,80,242
16665927986648968113,walls,cim,100,20,13,1,28,14167,72,253
9029131172097410597,walls,cim,100,20,13,1,29,13416,74,238
11418402573699627557,walls,cim,100,20,13,1,30,12750,68,228
4994688730508748879,walls,cim,100,20,13,1,31,13875,84,237
2426142140968418042,walls,cim,100,20,13,1,32,13208,63,241
9953292518739385185,walls,cim,100,20,13,1,33,13541,67,208
1412359608470753449,walls,cim,100,20,13,1,34,14333,67,238
12882030554061754309,walls,cim,100,20,13,1,35,22250,73,239
6528268436533962354,walls,cim,100,20,13,1,36,13083,74,217
9678905469531326293,walls,cim,100,20,13,1,37,13958,71,252
4618694508768934656,walls,cim,100,20,13,1,38,13667,75,238
3410744333203519663,walls,cim,100,20,13,1,39,14375,74,260
6706422034505084914,walls,cim,100,20,13,1,40,13709,74,225
4271610728469756772,walls,cim,100,20,13,1,41,13417,72,228
